restaurant_id,order_id,price,restaurant_name,item_description,restaurant_address_line1,restaurant_address_line2,restaurant_city,restaurant_state,restaurant_zip_code
1,2,50,Italiano Pizza ,Tuner fish pizza,123 Main St,NULL,New York City,New York,10001
2,1,25.5,Italiano Pizza ,Margherita Pizza,123 Main St,NULL,New York City,New York,10001
3,4,12.75,Italiano Pizza,Mushroom pizza,123 Main St,NULL,New York City,New York,10001
4,4,12.75,Italiano Pizza,Margherita Pizza,123 Main St,NULL,New York City,New York,10001
5,2,13.49,Breakfast Café ,Black coffee,456 Elm St,NULL,Boston,Massachusetts,2110
6,2,13.49,Breakfast Café ,Sausage,456 Elm St,NULL,Boston,Massachusetts,2110
7,2,4.99,Breakfast Café ,Macaroni,456 Elm St,NULL,Boston,Massachusetts,2110
8,2,4.99,Breakfast Café ,Black coffee,456 Elm St,NULL,Boston,Massachusetts,2110
9,1,10.99,Breakfast Café ,Oxtail,456 Elm St,NULL,Boston,Massachusetts,2110
10,6,4.99,Breakfast Café  ,Custard,456 Elm St,NULL,Boston,Massachusetts,2110
11,6,4.99,Breakfast Café ,Beans,456 Elm St,NULL,Boston,Massachusetts,2110
12,3,25.78,Burger King ,Burger,336 Main St,NULL,New York City,New York,13201
13,3,5.8,Burger King ,Cola,336 Main St,NULL,New York City,New York,13201
14,3,3.78,Burger King ,Chicken,336 Main St,NULL,New York City,New York,13201
15,3,4.65,Burger King ,Cheese Burger,336 Main St,NULL,New York City,New York,13201
16,3,8.45,Burger King ,"Fanta,",336 Main St,NULL,New York City,New York,13201
17,3,10.75,Burger King ,Chicken,336 Main St,NULL,New York City,New York,13201
18,3,15,Afro kitchen ,Abacha,076 Hamburg St,NULL,Hamburg City,Hamburg,10032
19,3,18,Afro kitchen,Nkwobi,076 Hamburg St,NULL,Hamburg City,Hamburg,10032
20,3,13,Afro kitchen ,Oha Soup,076 Hamburg St,NULL,Hamburg City,Hamburg,10032
21,2,50,Afro foods ,Ugba,123 Hamburg St,NULL,Hamburg City,Hamburg,10041
